step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_current_score,ew_current_score,ns_predicted_score,ew_predicted_score,ns_score_trend,ew_score_trend,chosen_direction,traffic_level,elapsed_green,vehicles_in_simulation,total_waiting_time,completed_vehicles
167,0,0,0,2,0,0.0,0.0,2.4,0.0,2.4,-0.6,-3.57,EW,VERY_LIGHT,2,6,0.0,1
168,0,0,0,2,0,0.0,0.0,2.4,0.0,2.4,-0.6,-2.8,EW,VERY_LIGHT,3,6,0.0,0
169,0,0,1,2,0.0,0.0,1.2,2.4,2.7,2.4,0.3,-2.9,EW,VERY_LIGHT,4,6,0.0,1
170,0,0,2,2,0.0,0.0,2.4,2.4,5.4,2.4,0.6,-0.3,EW,VERY_LIGHT,5,6,0.0,1
171,0,0,2,0,0.0,0,2.4,0.0,5.4,0.0,0.6,-0.6,EW,EMPTY,6,6,0.0,0
172,0,0,2,0,0.0,0,2.4,0.0,5.4,0.0,0.6,-0.6,EW,EMPTY,7,6,0.0,0
173,1,0,2,0,1.0,0,6.1,0.0,12.23,0.0,1.23,-0.6,EW,EMPTY,8,6,1.0,0
174,1,0,2,0,2.0,0,6.3,0.0,11.18,0.0,0.98,-0.6,EW,EMPTY,9,6,2.0,0
175,3,0,3,1,4.0,0.0,14.9,1.2,30.52,2.7,3.12,0.3,EW,VERY_LIGHT,10,8,4.0,0
176,2,0,3,1,6.0,0.0,11.8,1.2,23.55,2.7,2.35,0.3,EW,VERY_LIGHT,11,6,6.0,2
177,3,0,4,1,8.0,0.0,16.9,1.2,30.4,2.7,2.7,0.3,EW,VERY_LIGHT,12,7,8.0,0
178,2,0,4,1,10.0,0.0,13.8,1.2,23.18,2.7,1.88,0.3,EW,VERY_LIGHT,13,7,10.0,1
179,2,0,4,1,12.0,0.0,14.2,1.2,14.2,1.2,-0.17,0.0,EW,VERY_LIGHT,14,6,12.0,1
180,2,0,4,1,14.0,0.0,14.6,1.2,18.1,1.2,0.7,0.0,NS,LIGHT,0,6,14.0,0
181,0,0,4,1,0.0,0.0,4.8,1.2,4.8,1.2,-3.03,0.0,NS,VERY_LIGHT,1,6,0.0,0
182,0,0,3,1,0.0,0.0,3.6,1.2,3.6,1.2,-2.55,0.0,NS,VERY_LIGHT,2,6,0.0,1
183,0,1,3,1,0.0,1.0,3.6,4.9,3.6,9.53,-2.65,0.93,NS,VERY_LIGHT,3,6,1.0,0
184,0,1,3,1,0.0,2.0,3.6,5.1,3.6,9.98,-2.75,0.98,NS,VERY_LIGHT,4,6,2.0,0
185,0,1,4,1,0.0,3.0,4.8,5.3,4.8,10.43,0.0,1.03,NS,VERY_LIGHT,5,7,3.0,0
186,0,1,2,1,0.0,4.0,2.4,5.5,2.4,10.88,-0.3,1.07,NS,VERY_LIGHT,6,7,4.0,0
187,0,1,2,1,0.0,5.0,2.4,5.7,2.4,6.7,-0.3,0.2,NS,VERY_LIGHT,7,7,5.0,0
188,0,1,3,2,0.0,6.0,3.6,7.1,3.6,9.6,0.0,0.5,NS,VERY_LIGHT,8,9,6.0,0
189,0,2,2,3,0.0,7.0,2.4,12.0,2.4,20.38,-0.6,1.67,NS,VERY_LIGHT,9,10,7.0,0
190,0,1,1,3,0.0,8.0,1.2,8.7,1.2,12.7,-0.3,0.8,NS,VERY_LIGHT,10,9,8.0,1
191,0,1,1,3,0.0,9.0,1.2,8.9,1.2,12.9,-0.3,0.8,NS,VERY_LIGHT,11,8,9.0,1
192,0,2,0,3,0,11.0,0.0,12.8,0.0,19.93,-0.9,1.43,NS,EMPTY,12,8,11.0,0
193,0,2,1,3,0.0,13.0,1.2,13.2,1.2,14.7,-0.3,0.3,NS,VERY_LIGHT,13,7,13.0,2
194,0,2,2,3,0.0,15.0,2.4,13.6,3.9,19.73,0.3,1.23,NS,VERY_LIGHT,14,8,15.0,0
195,0,2,2,3,0.0,17.0,2.4,14.0,3.9,20.38,0.3,1.27,EW,MEDIUM,0,6,17.0,2
196,1,0,2,3,0.0,0.0,5.9,3.6,13.28,3.6,1.48,-2.3,EW,VERY_LIGHT,1,6,0.0,0
197,1,0,2,1,1.0,0.0,6.1,1.2,12.23,1.2,1.23,-3.0,EW,VERY_LIGHT,2,5,1.0,1
198,1,0,2,1,2.0,0.0,6.3,1.2,11.18,1.2,0.98,-3.1,EW,VERY_LIGHT,3,5,2.0,0
199,2,0,2,1,4.0,0.0,10.2,1.2,19.95,1.2,1.95,-3.2,EW,VERY_LIGHT,4,5,4.0,0
200,4,0,4,3,6.0,0.0,20.0,3.6,37.62,3.6,3.52,0.0,EW,VERY_LIGHT,5,9,6.0,0
201,2,0,4,2,8.0,0.0,13.4,2.4,22.52,3.9,1.82,0.3,EW,VERY_LIGHT,6,9,8.0,0
202,2,0,4,2,10.0,0.0,13.8,2.4,23.18,3.9,1.88,0.3,EW,VERY_LIGHT,7,9,10.0,0
203,2,0,4,1,12.0,0.0,14.2,1.2,19.2,1.2,1.0,0.0,EW,VERY_LIGHT,8,9,12.0,0
204,2,0,4,1,14.0,0.0,14.6,1.2,14.6,1.2,-1.35,-0.6,EW,VERY_LIGHT,9,9,14.0,0
205,2,0,4,1,16.0,0.0,15.0,1.2,17.0,1.2,0.4,-0.3,EW,VERY_LIGHT,10,9,16.0,0
