step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
232,0,1,4,3,0.0,1.0,4.8,7.3,EW,VERY_LIGHT,2,10,1.0,1
233,1,0,4,3,1.0,0.0,8.5,3.6,EW,VERY_LIGHT,3,10,1.0,0
234,2,0,4,3,3.0,0.0,12.4,3.6,EW,VERY_LIGHT,4,10,3.0,0
235,3,0,4,3,6.0,0.0,16.5,3.6,EW,VERY_LIGHT,5,10,6.0,0
236,4,0,4,3,10.0,0.0,20.8,3.6,EW,VERY_LIGHT,6,10,10.0,0
237,4,0,4,2,14.0,0.0,21.6,2.4,EW,VERY_LIGHT,7,10,14.0,0
238,4,0,4,2,18.0,0.0,22.4,2.4,EW,VERY_LIGHT,8,9,18.0,1
239,4,0,4,1,22.0,0.0,23.2,1.2,EW,VERY_LIGHT,9,9,22.0,0
240,5,0,5,1,26.0,0.0,28.7,1.2,EW,VERY_LIGHT,10,10,27.0,0
241,4,0,5,2,30.0,0.0,26.0,2.4,EW,VERY_LIGHT,11,11,32.0,0
242,4,1,5,2,34.0,1.0,26.8,6.1,EW,VERY_LIGHT,12,9,35.0,2
243,4,0,5,2,38.0,0.0,27.6,2.4,EW,VERY_LIGHT,13,9,38.0,0
244,4,0,5,2,42.0,0.0,28.4,2.4,EW,VERY_LIGHT,14,8,42.0,1
245,4,0,5,1,46.0,0.0,29.2,1.2,NS,MEDIUM,0,8,46.0,0
246,2,0,5,1,23.0,0.0,17.6,1.2,NS,LIGHT,1,8,23.0,0
247,1,0,3,1,12.0,0.0,9.5,1.2,NS,LIGHT,2,8,12.0,0
248,0,0,3,1,0.0,0.0,3.6,1.2,NS,VERY_LIGHT,3,8,0.0,0
249,0,0,3,1,0.0,0.0,3.6,1.2,NS,VERY_LIGHT,4,8,0.0,0
250,0,0,4,2,0.0,0.0,4.8,2.4,NS,VERY_LIGHT,5,9,0.0,1
251,0,1,4,2,0.0,1.0,4.8,6.1,NS,VERY_LIGHT,6,10,1.0,0
252,0,1,3,3,0.0,2.0,3.6,7.5,NS,VERY_LIGHT,7,11,2.0,0
253,0,1,3,3,0.0,3.0,3.6,7.7,NS,VERY_LIGHT,8,10,3.0,1
254,0,2,3,4,0.0,5.0,3.6,12.8,NS,VERY_LIGHT,9,12,5.0,0
255,0,2,3,4,0.0,7.0,3.6,13.2,NS,VERY_LIGHT,10,12,7.0,1
256,0,2,2,4,0.0,9.0,2.4,13.6,NS,VERY_LIGHT,11,11,9.0,1
257,0,3,1,4,0.0,12.0,1.2,17.7,NS,VERY_LIGHT,12,11,12.0,0
258,0,4,2,4,0.0,16.0,2.4,22.0,NS,VERY_LIGHT,13,10,16.0,2
259,0,4,2,4,0.0,20.0,2.4,22.8,NS,VERY_LIGHT,14,10,21.0,0
260,0,5,2,5,0.0,24.0,2.4,28.3,EW,MEDIUM,0,9,26.0,2
261,1,2,3,5,1.0,9.0,7.3,14.8,EW,LIGHT,1,10,13.0,0
262,2,1,4,5,3.0,5.0,12.4,10.5,EW,LIGHT,2,11,8.0,0
263,1,1,4,5,2.0,1.0,8.7,9.7,EW,LIGHT,3,11,3.0,0
264,0,2,5,5,0.0,3.0,6.0,13.6,EW,LIGHT,4,12,3.0,0
265,0,1,5,3,0.0,1.0,6.0,7.3,EW,VERY_LIGHT,5,12,1.0,0
266,1,1,5,3,1.0,1.0,9.7,7.3,EW,VERY_LIGHT,6,12,2.0,0
267,2,0,5,3,3.0,0.0,13.6,3.6,EW,VERY_LIGHT,7,12,3.0,0
268,2,0,5,3,5.0,0.0,14.0,3.6,EW,VERY_LIGHT,8,12,5.0,0
269,4,0,5,3,9.0,0.0,21.8,3.6,EW,VERY_LIGHT,9,12,9.0,0
270,5,0,5,1,14.0,0.0,26.3,1.2,EW,VERY_LIGHT,10,11,14.0,1
271,6,0,6,2,19.0,0.0,32.0,2.4,EW,VERY_LIGHT,11,12,19.0,1
272,5,0,6,2,24.0,0.0,29.5,2.4,EW,VERY_LIGHT,12,12,25.0,0
273,5,0,6,2,29.0,0.0,30.5,2.4,EW,VERY_LIGHT,13,12,31.0,0
274,5,0,6,2,34.0,0.0,31.5,2.4,EW,VERY_LIGHT,14,12,34.0,0
275,6,0,6,2,40.0,0.0,36.2,2.4,NS,MEDIUM,0,10,40.0,2
276,4,0,6,2,25.0,0.0,26.2,2.4,NS,MEDIUM,1,10,25.0,0
277,2,0,4,2,11.0,0.0,14.0,2.4,NS,LIGHT,2,9,11.0,1
278,0,0,4,3,0.0,0.0,4.8,3.6,NS,VERY_LIGHT,3,10,0.0,0
279,0,1,4,3,0.0,1.0,4.8,7.3,NS,VERY_LIGHT,4,10,1.0,0
280,0,2,4,4,0.0,3.0,4.8,12.4,NS,VERY_LIGHT,5,11,3.0,0
281,0,2,3,4,0.0,5.0,3.6,12.8,NS,VERY_LIGHT,6,11,5.0,0
